Date,Price,Open,High,Low,Vol.,Chg. %,
"11/7/21","63,259.1","61,495.0","63,279.0","61,400.0","3.23K","2.87%",
"11/6/21","61,496.0","61,016.4","61,583.0","60,100.0","2.93K","0.79%",
"11/5/21","61,016.4","61,422.8","62,598.0","60,746.3","2.26K","-0.66%",
"11/4/21","61,422.8","62,904.0","63,060.2","60,733.0","2.93K","-2.35%",
"11/3/21","62,904.0","63,249.0","63,556.0","60,624.0","4.76K","-0.55%",
"11/2/21","63,249.0","60,927.0","64,263.4","60,661.0","5.20K","3.81%",
"11/1/21","60,927.0","61,330.0","62,485.0","59,595.6","4.81K","-0.66%",
"10/31/21","61,330.0","61,838.8","62,414.0","60,021.0","2.42K","-0.82%",
"10/30/21","61,838.8","62,235.0","62,353.0","60,756.0","2.24K","-0.64%",
"10/29/21","62,235.0","60,598.0","62,980.0","60,189.5","3.92K","2.70%",
"10/28/21","60,598.0","58,453.0","62,395.0","57,612.0","8.07K","3.67%",
"10/27/21","58,453.0","60,289.0","61,447.7","58,096.4","7.14K","-3.05%",
"10/26/21","60,290.0","63,100.0","63,306.0","59,852.0","4.75K","-4.45%",
"10/25/21","63,100.0","60,847.0","63,666.0","60,633.0","3.71K","3.70%",
"10/24/21","60,847.0","61,302.0","61,471.0","59,537.0","2.88K","-0.74%",
"10/23/21","61,302.0","60,708.0","61,731.0","59,762.0","2.71K","0.98%",
"10/22/21","60,708.0","62,200.0","63,708.0","60,045.0","6.35K","-2.40%",
"10/21/21","62,200.0","65,988.0","66,643.0","62,100.0","13.37K","-5.74%",
"10/20/21","65,988.0","64,263.0","66,927.0","63,536.0","9.26K","2.73%",
"10/19/21","64,237.0","62,034.0","64,418.0","61,441.1","9.15K","3.55%",
"10/18/21","62,034.0","61,504.0","62,661.0","59,948.0","8.56K","0.85%",
"10/17/21","61,511.0","60,867.5","61,652.0","59,073.0","5.14K","1.06%",
"10/16/21","60,867.5","61,680.0","62,325.0","60,175.0","4.28K","-1.36%",
"10/15/21","61,709.0","57,354.0","62,897.0","56,889.0","11.88K","7.59%",
"10/14/21","57,354.0","57,381.0","58,473.0","56,880.0","4.59K","-0.05%",
"10/13/21","57,381.0","55,967.0","57,758.0","54,310.0","3.09K","2.53%",
"10/12/21","55,967.0","57,468.0","57,633.0","54,000.0","5.94K","-2.61%",
"10/11/21","57,468.0","54,701.0","57,802.5","54,430.0","7.51K","5.06%",
